Dataset,Instancia,Algoritmo,Runs,Gap media + DP,Tempo media + DP
a,instance_0005,simple_diff_weighted_multi_smaller,5,0.8210 +- 0.0000,0.1041 +- 0.0259
a,instance_0005,simple_diff_weighted_simple_bigger,5,0.8223 +- 0.0000,0.2793 +- 0.0358
a,instance_0005,simple_diff_weighted_simple_most_shared,5,0.8222 +- 0.0000,0.3357 +- 0.0368
a,instance_0005,simple_diff_weighted_simple_random,5,0.8223 +- 0.0000,0.3368 +- 0.0284
a,instance_0005,simple_diff_weighted_simple_smaller,5,0.8223 +- 0.0000,0.3229 +- 0.0389
a,instance_0005,simple_random_multi,5,0.8167 +- 0.0020,0.1255 +- 0.0368
a,instance_0005,simple_random_simple,5,0.8188 +- 0.0015,0.3953 +- 0.0802
a,instance_0005,simple_similar_multi_bigger,5,0.8196 +- 0.0000,0.1292 +- 0.0476
a,instance_0005,simple_similar_multi_most_shared,5,0.8183 +- 0.0000,0.1025 +- 0.0260
a,instance_0005,simple_similar_multi_random,5,0.8202 +- 0.0012,0.1578 +- 0.0339
a,instance_0005,simple_similar_multi_smaller,5,0.8210 +- 0.0000,0.0971 +- 0.0202
a,instance_0005,simple_similar_simple_bigger,5,0.8210 +- 0.0000,0.3829 +- 0.0522
a,instance_0005,simple_similar_simple_most_shared,5,0.8196 +- 0.0000,0.3332 +- 0.0370
a,instance_0005,simple_similar_simple_random,5,0.8215 +- 0.0012,0.3603 +- 0.0506
a,instance_0005,simple_similar_simple_smaller,5,0.8222 +- 0.0000,0.3045 +- 0.0580
a,instance_0005,simple_similar_weighted_multi_bigger,5,0.8196 +- 0.0000,0.1187 +- 0.0405
a,instance_0005,simple_similar_weighted_multi_most_shared,5,0.8183 +- 0.0000,0.1177 +- 0.0374
a,instance_0005,simple_similar_weighted_multi_random,5,0.8202 +- 0.0012,0.1052 +- 0.0221
a,instance_0005,simple_similar_weighted_multi_smaller,5,0.8210 +- 0.0000,0.1147 +- 0.0433
a,instance_0005,simple_similar_weighted_simple_bigger,5,0.8210 +- 0.0000,0.3061 +- 0.0509
a,instance_0005,simple_similar_weighted_simple_most_shared,5,0.8196 +- 0.0000,0.2852 +- 0.0490
a,instance_0005,simple_similar_weighted_simple_random,5,0.8215 +- 0.0012,0.3145 +- 0.0362
a,instance_0005,simple_similar_weighted_simple_smaller,5,0.8222 +- 0.0000,0.3017 +- 0.0433
a,instance_0006,simple_asc_multi,5,0.9614 +- 0.0000,0.1441 +- 0.0531
a,instance_0006,simple_asc_simple,5,0.9617 +- 0.0000,0.4585 +- 0.0780
